,Title,Author,Gender of Author,Sources,# of Male Sources,# of Female Sources
76,"3 dead, 6 wounded in shooting at North Carolina block party",['sarah blake morgan'],['female'],"['Katrina Cherry', 'Maliyah Cook', 'Gerald Smith', 'Myra Stewart', 'Matthew Torres']",2,3
77,Foul play suspected in death of Fort Hood soldier after remains found in Texas field: Army,['bill hutchinson'],['male'],"['Vanessa Guillen', 'Gregory Wedel-Morales']",1,1
78,"EU urges China to move on trade, back off in Hong Kong",[],[],"['Ursula von der Leyen', 'Charles Michel']",1,1
79,Syrian suspected of torture at prison arrested in Germany,[],[],[],0,0
80,Retired pope back at Vatican after German visit to brother,[],[],"['Benedict XVI', 'Benedict XVI', 'Matteo Bruni']",3,0
81,China to Canada PM: Stop 'irresponsible remarks' on spy case,[],[],"['Mike Pompeo', 'Justin Trudeau', 'Justin Trudeau', 'Zhao Lijian']",4,0
82,English town mourns victims of suspected terror attack,[],[],"['Martin Cooper', 'James Furlong', 'Khairi Saadallah']",3,0
83,Serbian populist wins landslide as many parties boycott,['jovana gec'],['female'],"['Djilas', 'Urszula Gacek', 'Viktor Orban', 'Aleksandar Vucic']",2,1
84,Attorney for former officer who killed Rayshard Brooks says DA's investigation isn't credible,[],[],"[""Paul L. Howard Jr.'s"", 'Lance LoRusso']",2,0
85,"American national died in UK terror stabbing, Ambassador confirms",[],[],"['Superintendent Kath Barnes', 'Neil Basu', 'Woody Johnson']",2,0
86,"South Africa's minibus taxis go on strike, hitting workers",[],[],[],0,0
87,Iran's currency reaches lowest value ever against the dollar,[],[],['Eshaq Jahangiri'],1,0
88,"Germany condemns weekend violence, looting in Stuttgart",[],[],['Steffen Seibert'],1,0
89,Thai army whistleblower accused of abandoning post gets bail,[],[],"['Narongchai Intharakawi', 'Narongchai Intharakawi', 'Winthai Suwaree']",3,0
90,Detained Lebanese woman accused of dealing with Israel,[],[],[],0,0
91,"EU lagging behind on climate, gender equality goals",['samuel petrequin'],['male'],[],0,0
92,Scientists find huge ring of ancient shafts near Stonehenge,[],[],"['Richard Bates', 'Vince Gaffney']",2,0
93,"Gunmen kill 5, including 2 prosecutors, in Afghan capital",[],[],['Ferdaws Faramarz'],0,1
94,Russian court hands prison terms to youth group members,[],[],"['Yevgenia Kulakova', 'Dmitry Peskov', 'Vladimir Putin', 'Filip Shchelkanov']",3,1
95,"Severe weather in the Heartland, excessive heat warning for the West",['max golembo'],['male'],[],0,0
96,Defense lawyers seek more investigations into MH17 downing,['mike corder'],['male'],['Boudewijn van Eijck'],1,0
97,Greece sees 99% drop in travel revenue during April lockdown,[],[],[],0,0
98,Amnesty says spyware used to monitor critics in Morocco,[],[],[],0,0
99,"Malawi to go to polls again, after first election nullified",[],[],"['Stephane Dujarric', 'Antonio Guterres']",2,0
100,No new hardware is expected at Apple's worldwide developers conference Video,[],[],[],0,0
101,Russian prosecutors seek prison term for theater director,[],[],[],0,0
102,"From Italy, Muti looks to reopen US classical music scene",['colleen barry'],['female'],"['Muti', 'Riccardo Muti', 'Maestro Riccardo Muti']",3,0
103,Merseyside derby watched by record 5m viewers on British TV,[],[],[],0,0
104,Celebrity birthdays for the week of June 28-July 4,[],[],[],0,0
105,"Amid pandemic, Live Nation announces drive-in concert series",[],[],"['Brad Paisley', 'Tom See', 'Tom See']",3,0
106,AP-NORC poll: Politics drive divergent view of US economy,"['josh boak', 'emily swanson']","['male', 'female']","['Jason Furman', 'Melissa Kearney', 'Thelma Ross']",1,2
107,VIRUS DIARY: 'We're together & we're safe',['christina paciolla'],['female'],[],0,0
,,,,,198,43
