,Title,Author,Gender of Author,Sources,Male Sources,Female Sources,url
60,"Shakira, Dwayne Johnson highlight coronavirus equity concert",[],[],"['Hugh Evans', 'Dwayne Johnson', 'concert Dwayne Johnson', 'Dwayne Johnson']",4,0,https://abcnews.go.com/Entertainment/wireStory/shakira-dwayne-johnson-highlight-coronavirus-equity-concert-71377587
61,Trump to celebrate border wall milestone in Arizona,['astrid galvan'],['female'],['Brett Hartl'],1,0,https://abcnews.go.com/Politics/wireStory/trump-mark-completion-border-walls-200th-mile-71377079
62,Surging US virus cases raise fear that progress is slipping,"['nathan ellgren', 'tammy webber']","['male', 'female']","['Greg Abbott', 'Marc Boom', 'Kevin Cole', 'John Bel Edwards', 'Eve Gonzalez', 'Raul Pino', 'Michael Ryan']",6,1,https://abcnews.go.com/Health/wireStory/virus-cases-surge-us-worldwide-slow-china-korea-71377722
63,"As virus cases soar, Pakistan says it must keep economy open",[],[],"['Zeeshan Hassan', 'Imran Khan', 'Diya Rahman', 'Qaiser Sajjad', 'Haroon Sharif']",4,1,https://abcnews.go.com/International/wireStory/virus-surges-pakistan-choice-open-71377822
64,Wirecard scandal: Missing billions likely don't exist,[],[],"['Robert Halver', 'Felix Hufeld', 'Wirecard']",2,0,https://abcnews.go.com/International/wireStory/germanys-wirecard-missing-accounts-exist-71377992
65,"Asian shares advance, tracking Wall Street tech rally",['yuri kageyama'],['male'],"['Peter Navarro', 'Jingyi Pan', 'Donald Trump']",2,1,https://abcnews.go.com/Business/wireStory/asian-shares-mixed-us-reports-surging-virus-cases-71377991
66,Fire breaks out at hazmat facility at US air base on Okinawa,[],[],[],0,0,https://abcnews.go.com/US/wireStory/fire-burning-hazmat-facility-us-air-base-okinawa-71378059
67,Today in History,[],[],['Nikki Haley'],0,1,https://abcnews.go.com/US/wireStory/today-history-71377181
68,Luxury fashion challenged to confront racist attitudes,"['colleen barry', 'thomas adamson']","['female', 'male']","['Tommy Dorfman', 'Dorfman', 'Salvatore Ferragamo', 'Tamu McPherson']",3,1,https://abcnews.go.com/Business/wireStory/luxury-fashion-challenged-confront-racist-attitudes-71378160
69,Virus outbreak could spin 'out of control' in South Sudan,"['maura ajak', 'cara anna']","['female', 'female']","['Kawa Tong', 'David Gai Zakayo']",2,0,https://abcnews.go.com/Health/wireStory/virus-outbreak-spin-control-south-sudan-71378161
